PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
TS,1985,58,10,2.89,2.14,2.14,3.89,8.29,13.23,15.55,15.3,13.17,11.64,7.8,5.4,8.45
TS,1985,58,10.625,1.36,1.13,1.8,3.71,8.51,13.31,15.75,15.46,13.32,11.68,7.33,4.97,8.19
TS,1985,58,11.25,-1.94,-2.06,0.92,3.45,9.34,13.68,16.22,15.6,12.71,10.9,4.98,2.69,7.21
TS,1985,58,11.875,-6.61,-6.43,0.11,2.88,10.18,13.73,16.15,15.25,11.28,9.46,1.29,-0.52,5.56
TS,1985,58,12.5,-10.33,-10.34,-0.6,2.21,10.59,13.65,15.76,14.66,9.83,8.11,-1.75,-3.12,4.06
TS,1985,58,5,5.91,4.91,4.69,4.92,7.25,10.93,14.33,14.68,12.44,11.22,8.53,6.74,8.88
TS,1985,58,5.625,5.27,4.55,4.26,4.49,7.13,11.05,14.47,14.84,12.78,11.48,8.46,6.38,8.76
TS,1985,58,6.25,3.56,3.34,3.42,4.09,7.6,11.58,14.66,14.9,12.76,11.34,7.49,5.44,8.35
TS,1985,58,6.875,1.67,1.92,2.51,3.77,8.27,12.28,14.89,14.88,12.54,11.01,6.2,4.34,7.86
TS,1985,58,7.5,0.54,0.81,1.67,3.27,8.25,12.71,14.91,14.49,11.96,10.51,5.2,3.48,7.32
TS,1985,58,8.125,0.91,0.77,1.48,3.33,8.29,13.09,15.16,14.63,12.07,10.65,5.64,3.77,7.48
TS,1985,58,8.75,3.26,2.07,1.97,3.78,8.12,13.43,15.6,15.24,12.97,11.5,7.63,5.26,8.4
TS,1985,58,9.375,3.67,2.48,2.19,3.9,8.12,13.24,15.49,15.23,13.07,11.6,8,5.47,8.54
TS,1985,58.5,10,3.06,2.02,1.97,3.52,8.7,13.77,15.87,15.36,13.19,11.55,7.78,5.03,8.49
TS,1985,58.5,10.625,0.69,0.47,1.41,3.4,8.92,13.62,15.99,15.45,13,11.29,6.73,3.95,7.91
TS,1985,58.5,11.25,-3.75,-3.33,0.55,2.94,9.57,13.65,16.07,15.31,11.94,10.15,3.55,0.94,6.47
